 Values of the electric field strength in the far field V
 "Frequency in Hz"  1.1000001E+10
          Theta(deg)            Phi(deg)        Magn(Etheta)       Phase(Etheta)          Magn(Ephi)         Phase(Ephi)            Total_dB
 "FarField Radiation"           1
   0.1200000000E+003   0.4000000000E+002   0.2195555687E+002   0.4297669983E+002   0.2739235115E+002   0.3447442245E+002   0.7116708374E+002
   0.1200000000E+003   0.6000000000E+002   0.3407514191E+002   0.3552590561E+002   0.1563535404E+002   0.2976785469E+002   0.7248204803E+002
   0.1200000000E+003   0.8000000000E+002   0.2765232086E+002   0.4792512894E+002   0.7855607986E+001   0.8124546051E+002   0.6717032623E+002
   0.1200000000E+003   0.1000000000E+003   0.2775024033E+002   0.4793202209E+002   0.7765991211E+001   0.8146443176E+002   0.6721891022E+002
   0.1200000000E+003   0.1200000000E+003   0.3423884583E+002   0.3619096756E+002   0.1585877228E+002   0.2955099678E+002   0.7261083984E+002
   0.1200000000E+003   0.1400000000E+003   0.2141442680E+002   0.4382141113E+002   0.2695292664E+002   0.3496041107E+002   0.7077529907E+002
   0.1200000000E+003   0.1600000000E+003   0.8248018265E+001   0.6638806152E+002   0.1807267380E+002   0.3215371704E+002   0.5978002548E+002
   0.1200000000E+003   0.1800000000E+003   0.3186112344E+000   0.3987973022E+002   0.2479298973E+002   0.2990386009E+002   0.6421286774E+002
   0.1400000000E+003   0.0000000000E+000   0.1698996127E+000   0.3408853292E+001   0.1145493984E+002   0.1830527496E+002   0.4877061844E+002
   0.1400000000E+003   0.2000000000E+002   0.9941435814E+001   0.5151384354E+002   0.2582091713E+002   0.4776615143E+002   0.6640596771E+002
   0.1400000000E+003   0.4000000000E+002   0.1852561378E+002   0.1990957111E+000   0.2013138390E+002   0.1931217194E+002   0.6618032837E+002
   0.1400000000E+003   0.6000000000E+002   0.1107339478E+002   0.7051276684E+001   0.9803620338E+001   0.2525787592E+001   0.5387842560E+002
   0.1400000000E+003   0.8000000000E+002   0.1905424309E+002   0.3090469933E+002   0.6705121517E+001   0.5584299088E+002   0.6011322784E+002
   0.1400000000E+003   0.1000000000E+003   0.1903309631E+002   0.3101579857E+002   0.6389570713E+001   0.5550334167E+002   0.5999148560E+002
   0.1400000000E+003   0.1200000000E+003   0.1126354694E+002   0.5643568039E+001   0.9983861923E+001   0.1641049385E+001   0.5422943497E+002
   0.1400000000E+003   0.1400000000E+003   0.1843772507E+002   0.1445238948E+001   0.2012391663E+002   0.1865827751E+002   0.6613279724E+002
   0.1400000000E+003   0.1600000000E+003   0.9823563576E+001   0.4967754364E+002   0.2625077820E+002   0.4771350861E+002   0.6666455078E+002
   0.1400000000E+003   0.1800000000E+003   0.1560560334E-001   0.1743900180E+001   0.1125613976E+002   0.1997232056E+002   0.4841829300E+002
   0.1600000000E+003   0.0000000000E+000   0.1648337394E+000   0.2719898224E+002   0.2857685280E+002   0.4497332382E+002   0.6705227661E+002
   0.1600000000E+003   0.2000000000E+002   0.7833623886E+001   0.7974617004E+002   0.1657562637E+002   0.1587245083E+002   0.5817459488E+002
   0.1600000000E+003   0.4000000000E+002   0.1278737068E+002   0.2697706461E+001   0.1439936256E+002   0.2028837395E+002   0.5915820694E+002
   0.1600000000E+003   0.6000000000E+002   0.1655748940E+002   0.4055669403E+002   0.9975072861E+001   0.1954547119E+002   0.5923326111E+002
   0.1600000000E+003   0.8000000000E+002   0.2029028320E+002   0.5145240402E+002   0.5357862949E+001   0.1328053761E+002   0.6087688446E+002
   0.1600000000E+003   0.1000000000E+003   0.2016317177E+002   0.5154536057E+002   0.5634567738E+001   0.1145942497E+002   0.6082908249E+002
   0.1600000000E+003   0.1200000000E+003   0.1615646172E+002   0.4079479980E+002   0.1010095024E+002   0.2056825638E+002   0.5894569397E+002
   0.1600000000E+003   0.1400000000E+003   0.1244912815E+002   0.4782938004E+001   0.1428160667E+002   0.2125705910E+002   0.5883169556E+002
   0.1600000000E+003   0.1600000000E+003   0.7824264050E+001   0.7878598785E+002   0.1650931740E+002   0.1609616089E+002   0.5810472107E+002
   0.1600000000E+003   0.1800000000E+003   0.1180910692E+000   0.8547887421E+002   0.2873446274E+002   0.4551360703E+002   0.6716210938E+002
   0.1800000000E+003   0.0000000000E+000   0.1262007505E+000   0.6950496674E+002   0.2369686127E+002   0.4697614288E+002   0.6330713654E+002
   0.1800000000E+003   0.2000000000E+002   0.8158373833E+001   0.4772169876E+002   0.2224855423E+002   0.4687648010E+002   0.6330713654E+002
   0.1800000000E+003   0.4000000000E+002   0.1527540779E+002   0.4730064011E+002   0.1811680603E+002   0.4674651718E+002   0.6330712891E+002
   0.1800000000E+003   0.6000000000E+002   0.2055027580E+002   0.4713350296E+002   0.1180009937E+002   0.4650100708E+002   0.6330711746E+002
   0.1800000000E+003   0.8000000000E+002   0.2334660149E+002   0.4702419281E+002   0.4061028004E+001   0.4540632629E+002   0.6330710983E+002
   0.1800000000E+003   0.1000000000E+003   0.2332710266E+002   0.4692788696E+002   0.4171831131E+001   0.4850417328E+002   0.6330715179E+002
   0.1800000000E+003   0.1200000000E+003   0.2049402618E+002   0.4681808090E+002   0.1189757538E+002   0.4744717026E+002   0.6330714417E+002
   0.1800000000E+003   0.1400000000E+003   0.1518921947E+002   0.4664965057E+002   0.1818918037E+002   0.4720477295E+002   0.6330715942E+002
   0.1800000000E+003   0.1600000000E+003   0.8052613258E+001   0.4622066498E+002   0.2228702354E+002   0.4707544708E+002   0.6330711746E+002
   0.1800000000E+003   0.1800000000E+003   0.1262013763E+000   0.6950651550E+002   0.2369686890E+002   0.4697606659E+002   0.6330714417E+002
 "FarField Radiation"           2
   0.0000000000E+000   0.0000000000E+000   0.1262016147E+000   0.6950434113E+002   0.2369686127E+002   0.4697610092E+002   0.6330713654E+002
   0.0000000000E+000   0.4500000000E+002   0.1679617691E+002   0.4724851990E+002   0.1671662331E+002   0.4670218658E+002   0.6330713272E+002
   0.0000000000E+000   0.9000000000E+002   0.2369686699E+002   0.4697610474E+002   0.1262014508E+000   0.6950460815E+002   0.6330714417E+002
   0.0000000000E+000   0.1350000000E+003   0.1671662331E+002   0.4670218658E+002   0.1679617691E+002   0.4724851990E+002   0.6330713272E+002
   0.0000000000E+000   0.1800000000E+003   0.1262012869E+000   0.6950556183E+002   0.2369686890E+002   0.4697610092E+002   0.6330714417E+002
   0.0000000000E+000   0.2250000000E+003   0.1679618263E+002   0.4724852371E+002   0.1671662140E+002   0.4670217514E+002   0.6330713654E+002
   0.0000000000E+000   0.2700000000E+003   0.2369686508E+002   0.4697610474E+002   0.1262015253E+000   0.6950431061E+002   0.6330714417E+002
   0.0000000000E+000   0.3150000000E+003   0.1671662903E+002   0.4670215988E+002   0.1679618263E+002   0.4724853134E+002   0.6330714417E+002
   0.0000000000E+000   0.3600000000E+003   0.1262033880E+000   0.6950658417E+002   0.2369687271E+002   0.4697608948E+002   0.6330714798E+002
   0.4500000000E+002   0.0000000000E+000   0.2021272779E+000   0.1338831425E+002   0.1455428696E+002   0.5725210953E+002   0.5355963898E+002
   0.4500000000E+002   0.4500000000E+002   0.1194965935E+002   0.7143431664E+001   0.1411309624E+002   0.6367799377E+002   0.5834734344E+002
   0.4500000000E+002   0.9000000000E+002   0.2231635857E+002   0.6357557297E+002   0.1112340614E+000   0.4354708481E+002   0.6210664749E+002
   0.4500000000E+002   0.1350000000E+003   0.1159663105E+002   0.4548954010E+001   0.1399104786E+002   0.6236106110E+002   0.5799793243E+002
   0.4500000000E+002   0.1800000000E+003   0.1551073510E-001   0.3591431808E+002   0.1461837673E+002   0.5873035812E+002   0.5364559937E+002
   0.4500000000E+002   0.2250000000E+003   0.1196999168E+002   0.7732470989E+001   0.1421846104E+002   0.6250817490E+002   0.5844834137E+002
   0.4500000000E+002   0.2700000000E+003   0.2271741104E+002   0.6417427063E+002   0.8611512929E-001   0.6107165146E+002   0.6246277237E+002
   0.4500000000E+002   0.3150000000E+003   0.1160707378E+002   0.5772496700E+001   0.1415154266E+002   0.6139021683E+002   0.5814101791E+002
   0.4500000000E+002   0.3600000000E+003   0.2021392733E+000   0.1339341450E+002   0.1455429363E+002   0.5725208664E+002   0.5355965042E+002
   0.9000000000E+002   0.0000000000E+000   0.4977383838E-007   0.8540078735E+002   0.2604877663E+002   0.1595123100E+002   0.6519941711E+002
   0.9000000000E+002   0.4500000000E+002   0.3834260951E-005   0.4006610489E+002   0.1871038628E+002   0.2435085297E+002   0.5858157730E+002
   0.9000000000E+002   0.9000000000E+002   0.3349894996E-005   0.3436860561E+001   0.9707243741E-001   0.7522979736E+002  -0.4664595795E+002
   0.9000000000E+002   0.1350000000E+003   0.3845959327E-005   0.3885365677E+002   0.1912217522E+002   0.2609008980E+002   0.5901697159E+002
   0.9000000000E+002   0.1800000000E+003   0.4207330306E-007   0.4607986069E+002   0.2589957619E+002   0.1611665344E+002   0.6508453369E+002
   0.9000000000E+002   0.2250000000E+003   0.3817637207E-005   0.3939921188E+002   0.1899192619E+002   0.2418840218E+002   0.5888027573E+002
   0.9000000000E+002   0.2700000000E+003   0.3331220341E-005   0.2954397678E+001   0.5357909203E-001   0.7216819763E+002  -0.5853192902E+002
   0.9000000000E+002   0.3150000000E+003   0.3832203674E-005   0.3838750458E+002   0.1919218826E+002   0.2580521393E+002   0.5909006500E+002
   0.9000000000E+002   0.3600000000E+003   0.4977191992E-007   0.8540525055E+002   0.2604874802E+002   0.1595120430E+002   0.6519939423E+002
   0.1350000000E+003   0.0000000000E+000   0.2021272779E+000   0.1338831425E+002   0.1455428696E+002   0.5725210953E+002   0.5355963898E+002
