 Values of the electric field strength in the far field V
 "Frequency in Hz"  1.1000001E+10
          Theta(deg)            Phi(deg)        Magn(Etheta)       Phase(Etheta)          Magn(Ephi)         Phase(Ephi)            Total_dB
   0.1350000000E+003   0.1800000000E+003   0.1201153174E-001   0.7093949890E+002   0.1460579491E+002   0.5878520584E+002   0.5362837219E+002
   0.1350000000E+003   0.2100000000E+003   0.8037196159E+001   0.1784831429E+002   0.1401433563E+002   0.3426229239E+001   0.5564513397E+002
   0.1350000000E+003   0.2400000000E+003   0.6411900997E+001   0.1105993366E+002   0.8124607086E+001   0.4312277603E+002   0.4673965836E+002
   0.1350000000E+003   0.2700000000E+003   0.2271945190E+002   0.6419548035E+002   0.8524991572E-001   0.5410381317E+002   0.6246456909E+002
   0.1350000000E+003   0.3000000000E+003   0.6281207085E+001   0.1144587231E+002   0.8218450546E+001   0.4330527878E+002   0.4672796249E+002
   0.1350000000E+003   0.3300000000E+003   0.8231367111E+001   0.1749793243E+002   0.1420482731E+002   0.3471887589E+001   0.5596689224E+002
   0.1350000000E+003   0.3600000000E+003   0.2117631286E+000   0.1185842991E+002   0.1455194092E+002   0.5727589035E+002   0.5355660248E+002
   0.1800000000E+003   0.0000000000E+000   0.1295609176E+000   0.6921679688E+002   0.2370571327E+002   0.4696661758E+002   0.6331462097E+002
   0.1800000000E+003   0.3000000000E+002   0.1190281963E+002   0.4745121765E+002   0.2050125504E+002   0.4680403519E+002   0.6331463623E+002
   0.1800000000E+003   0.6000000000E+002   0.2055841827E+002   0.4712854767E+002   0.1180375195E+002   0.4647787094E+002   0.6331460953E+002
   0.1800000000E+003   0.9000000000E+002   0.2370570183E+002   0.4696659851E+002   0.1295607388E+000   0.6921729279E+002   0.6331460953E+002
   0.1800000000E+003   0.1200000000E+003   0.2050126076E+002   0.4680405807E+002   0.1190282536E+002   0.4745121002E+002   0.6331464386E+002
   0.1800000000E+003   0.1500000000E+003   0.1180373955E+002   0.4647785950E+002   0.2055844116E+002   0.4712848282E+002   0.6331462479E+002
   0.1800000000E+003   0.1800000000E+003   0.1295626909E+000   0.6921823883E+002   0.2370568657E+002   0.4696661758E+002   0.6331459427E+002
   0.1800000000E+003   0.2100000000E+003   0.1190283108E+002   0.4745120239E+002   0.2050125694E+002   0.4680411530E+002   0.6331464386E+002
   0.1800000000E+003   0.2400000000E+003   0.2055842590E+002   0.4712851334E+002   0.1180374527E+002   0.4647790909E+002   0.6331461334E+002
   0.1800000000E+003   0.2700000000E+003   0.2370569611E+002   0.4696659470E+002   0.1295586824E+000   0.6921653748E+002   0.6331460571E+002
   0.1800000000E+003   0.3000000000E+003   0.2050124741E+002   0.4680406952E+002   0.1190282917E+002   0.4745119858E+002   0.6331463242E+002
   0.1800000000E+003   0.3300000000E+003   0.1180374432E+002   0.4647787094E+002   0.2055842972E+002   0.4712854385E+002   0.6331461334E+002
   0.1800000000E+003   0.3600000000E+003   0.1295640767E+000   0.6921831512E+002   0.2370571327E+002   0.4696660233E+002   0.6331462097E+002
 "Frequency in Hz"  1.2000000E+10
          Theta(deg)            Phi(deg)        Magn(Etheta)       Phase(Etheta)          Magn(Ephi)         Phase(Ephi)            Total_dB
 "FarField Radiation"           1
   0.0000000000E+000   0.0000000000E+000   0.1351572573E+000   0.1274503708E+002   0.1165687656E+002   0.6257215881E+002   0.4911926651E+002
   0.0000000000E+000   0.4500000000E+002   0.8218941689E+001   0.6321677017E+002   0.8267387390E+001   0.6193144989E+002   0.4911924362E+002
   0.0000000000E+000   0.9000000000E+002   0.1165687466E+002   0.6257215881E+002   0.1351573765E+000   0.1274530983E+002   0.4911926651E+002
   0.0000000000E+000   0.1350000000E+003   0.8267387390E+001   0.6193144989E+002   0.8218941689E+001   0.6321677017E+002   0.4911924362E+002
   0.0000000000E+000   0.1800000000E+003   0.1351557672E+000   0.1274553299E+002   0.1165687180E+002   0.6257215118E+002   0.4911926270E+002
   0.3000000000E+002   0.0000000000E+000   0.1764474511E+000   0.7765391541E+002   0.3123423958E+002   0.3808469009E+002   0.6883061981E+002
   0.3000000000E+002   0.4500000000E+002   0.1470233917E+002   0.8025209045E+002   0.1177081299E+002   0.6780072021E+002   0.5871303177E+002
   0.3000000000E+002   0.9000000000E+002   0.2866990089E+002   0.3943957138E+002   0.6762009114E-001   0.6699256897E+002   0.6711701202E+002
   0.3000000000E+002   0.1350000000E+003   0.1426935196E+002   0.7906628418E+002   0.1151620579E+002   0.6857234955E+002   0.5817817307E+002
   0.3000000000E+002   0.1800000000E+003   0.1646756530E+000   0.3668479919E+002   0.3114807320E+002   0.3877239609E+002   0.6877532196E+002
   0.6000000000E+002   0.0000000000E+000   0.1589223146E+000   0.2452238083E+002   0.2531888962E+002   0.3924500656E+002   0.6463140869E+002
   0.6000000000E+002   0.4500000000E+002   0.2766935349E+002   0.4308044434E+002   0.1351543617E+002   0.4377618408E+002   0.6854628754E+002
   0.6000000000E+002   0.9000000000E+002   0.3560461426E+002   0.4007840729E+002   0.8865205944E-001   0.3357030869E+001   0.7144956970E+002
   0.6000000000E+002   0.1350000000E+003   0.2749581146E+002   0.4496085739E+002   0.1338033676E+002   0.4564459610E+002   0.6840603638E+002
   0.6000000000E+002   0.1800000000E+003   0.2593379319E+000   0.5173740768E+002   0.2526641273E+002   0.3992483902E+002   0.6459057617E+002
   0.9000000000E+002   0.0000000000E+000   0.1765890367E-007   0.1264530182E+002   0.2233077240E+002   0.1270016384E+002   0.6211931229E+002
   0.9000000000E+002   0.4500000000E+002   0.2799958793E-005   0.3618029785E+002   0.2217096329E+002   0.3222797155E+001   0.6197566986E+002
   0.9000000000E+002   0.9000000000E+002   0.3456750392E-005   0.9730972290E+001   0.9398522228E-001   0.2723348236E+002  -0.4729235840E+002
   0.9000000000E+002   0.1350000000E+003   0.2778185717E-005   0.3475542450E+002   0.2190195274E+002   0.1278880715E+001   0.6173151398E+002
   0.9000000000E+002   0.1800000000E+003   0.4802039300E-007   0.8816090393E+002   0.2217059326E+002   0.1320346832E+002   0.6197533417E+002
   0.1200000000E+003   0.0000000000E+000   0.1589230895E+000   0.2452279472E+002   0.2531887436E+002   0.3924501038E+002   0.6463139343E+002
   0.1200000000E+003   0.4500000000E+002   0.2766934204E+002   0.4308044434E+002   0.1351543236E+002   0.4377624130E+002   0.6854627991E+002
   0.1200000000E+003   0.9000000000E+002   0.3560460281E+002   0.4007842636E+002   0.8865179121E-001   0.3353821754E+001   0.7144956207E+002
   0.1200000000E+003   0.1350000000E+003   0.2749580002E+002   0.4496090317E+002   0.1338035202E+002   0.4564459610E+002   0.6840602875E+002
   0.1200000000E+003   0.1800000000E+003   0.2593348920E+000   0.5173778152E+002   0.2526640511E+002   0.3992486572E+002   0.6459056854E+002
   0.1500000000E+003   0.0000000000E+000   0.1764459461E+000   0.7765442657E+002   0.3123423767E+002   0.3808477783E+002   0.6883061981E+002
   0.1500000000E+003   0.4500000000E+002   0.1470232677E+002   0.8025212097E+002   0.1177080631E+002   0.6780067444E+002   0.5871301270E+002
   0.1500000000E+003   0.9000000000E+002   0.2866990089E+002   0.3943960953E+002   0.6761753559E-001   0.6699078369E+002   0.6711701202E+002
   0.1500000000E+003   0.1350000000E+003   0.1426935196E+002   0.7906628418E+002   0.1151619244E+002   0.6857229614E+002   0.5817816162E+002
   0.1500000000E+003   0.1800000000E+003   0.1646739691E+000   0.3668421936E+002   0.3114806175E+002   0.3877251816E+002   0.6877532196E+002
   0.1800000000E+003   0.0000000000E+000   0.1351579428E+000   0.1274601746E+002   0.1165686131E+002   0.6257217789E+002   0.4911924362E+002
   0.1800000000E+003   0.4500000000E+002   0.8218943596E+001   0.6321670532E+002   0.8267385483E+001   0.6193142700E+002   0.4911924362E+002
   0.1800000000E+003   0.9000000000E+002   0.1165686607E+002   0.6257219315E+002   0.1351567805E+000   0.1274595451E+002   0.4911924744E+002
   0.1800000000E+003   0.1350000000E+003   0.8267388344E+001   0.6193148041E+002   0.8218943596E+001   0.6321673584E+002   0.4911924744E+002
   0.1800000000E+003   0.1800000000E+003   0.1351549178E+000   0.1274555588E+002   0.1165686893E+002   0.6257210159E+002   0.4911925888E+002
 "FarField Radiation"           2
   0.0000000000E+000   0.0000000000E+000   0.1351572573E+000   0.1274503708E+002   0.1165687656E+002   0.6257215881E+002   0.4911926651E+002
   0.0000000000E+000   0.3000000000E+002   0.5799874306E+001   0.6369087219E+002   0.1011246872E+002   0.6220182800E+002   0.4911923218E+002
   0.0000000000E+000   0.6000000000E+002   0.1007823372E+002   0.6294379425E+002   0.5859190941E+001   0.6146490860E+002   0.4911926270E+002
   0.0000000000E+000   0.9000000000E+002   0.1165687466E+002   0.6257215881E+002   0.1351573765E+000   0.1274530983E+002   0.4911926651E+002
   0.0000000000E+000   0.1200000000E+003   0.1011246490E+002   0.6220183182E+002   0.5799871922E+001   0.6369084167E+002   0.4911922836E+002
   0.0000000000E+000   0.1500000000E+003   0.5859190941E+001   0.6146489716E+002   0.1007822990E+002   0.6294372177E+002   0.4911925507E+002
   0.0000000000E+000   0.1800000000E+003   0.1351557672E+000   0.1274553299E+002   0.1165687180E+002   0.6257215118E+002   0.4911926270E+002
   0.0000000000E+000   0.2100000000E+003   0.5799874783E+001   0.6369086838E+002   0.1011246967E+002   0.6220180511E+002   0.4911923981E+002
   0.0000000000E+000   0.2400000000E+003   0.1007823372E+002   0.6294376373E+002   0.5859191895E+001   0.6146491241E+002   0.4911926270E+002
   0.0000000000E+000   0.2700000000E+003   0.1165687656E+002   0.6257215881E+002   0.1351571977E+000   0.1274515152E+002   0.4911926651E+002
   0.0000000000E+000   0.3000000000E+003   0.1011246777E+002   0.6220179367E+002   0.5799876213E+001   0.6369089508E+002   0.4911923218E+002
   0.0000000000E+000   0.3300000000E+003   0.5859193802E+001   0.6146487808E+002   0.1007823467E+002   0.6294376373E+002   0.4911926651E+002
   0.0000000000E+000   0.3600000000E+003   0.1351580918E+000   0.1274582863E+002   0.1165687275E+002   0.6257214737E+002   0.4911926651E+002
   0.4500000000E+002   0.0000000000E+000   0.3150631785E+000   0.2625507355E+002   0.1323475456E+002   0.6493833065E+001   0.5166259003E+002
   0.4500000000E+002   0.3000000000E+002   0.1405460072E+002   0.5535103798E+001   0.2266631126E+002   0.1286992741E+002   0.6567085266E+002
   0.4500000000E+002   0.6000000000E+002   0.1533730698E+002   0.2328955269E+002   0.7535792351E+001   0.3770201111E+002   0.5676826477E+002
   0.4500000000E+002   0.9000000000E+002   0.1129030895E+002   0.5433800125E+002   0.4270087183E+000   0.9763947874E-001   0.4849319077E+002
   0.4500000000E+002   0.1200000000E+003   0.1501552105E+002   0.2326555443E+002   0.7799424171E+001   0.3613533401E+002   0.5657029724E+002
   0.4500000000E+002   0.1500000000E+003   0.1388436508E+002   0.4095032692E+001   0.2285708427E+002   0.1219189262E+002   0.6572592926E+002
   0.4500000000E+002   0.1800000000E+003   0.3668435514E+000   0.1415584373E+002   0.1294769669E+002   0.5301525593E+001   0.5122638321E+002
   0.4500000000E+002   0.2100000000E+003   0.1401849651E+002   0.5464004517E+001   0.2262806511E+002   0.1298350048E+002   0.6563217163E+002
   0.4500000000E+002   0.2400000000E+003   0.1543066883E+002   0.2369064140E+002   0.7834932327E+001   0.3907908249E+002   0.5702086639E+002
   0.4500000000E+002   0.2700000000E+003   0.1150549984E+002   0.5552371597E+002   0.3810676932E+000   0.3434793949E+001   0.4886746979E+002
   0.4500000000E+002   0.3000000000E+003   0.1500076485E+002   0.2389971733E+002   0.7830820560E+001   0.3717266846E+002   0.5657196426E+002
   0.4500000000E+002   0.3300000000E+003   0.1372361660E+002   0.4721463203E+001   0.2277229309E+002   0.1225822639E+002   0.6560910034E+002
   0.4500000000E+002   0.3600000000E+003   0.3150635958E+000   0.2625459099E+002   0.1323477173E+002   0.6493831635E+001   0.5166261673E+002
   0.9000000000E+002   0.0000000000E+000   0.1765890367E-007   0.1264530182E+002   0.2233077240E+002   0.1270016384E+002   0.6211931229E+002
   0.9000000000E+002   0.3000000000E+002   0.2016091912E-005   0.5936809540E+001   0.3143798256E+002   0.3697532177E+001   0.6896033478E+002
   0.9000000000E+002   0.6000000000E+002   0.3844866114E-005   0.2102621841E+002   0.1024007511E+002   0.4727854156E+002   0.4652618027E+002
   0.9000000000E+002   0.9000000000E+002   0.3456750392E-005   0.9730972290E+001   0.9398522228E-001   0.2723348236E+002  -0.4729235840E+002
