 "Frequency in Hz"  1.1000001E+10
          Theta(deg)            Phi(deg)        Magn(Etheta)       Phase(Etheta)          Magn(Ephi)         Phase(Ephi)            Total_dB
   0.0000000000E+000   0.1520000000E+003   0.1107575512E+002   0.4645999527E+002   0.2094957924E+002   0.4712103653E+002   0.6330713654E+002
   0.0000000000E+000   0.1540000000E+003   0.1033792400E+002   0.4641326141E+002   0.2132332802E+002   0.4710922623E+002   0.6330713272E+002
   0.0000000000E+000   0.1560000000E+003   0.9587534904E+001   0.4635927200E+002   0.2167111015E+002   0.4709748459E+002   0.6330714798E+002
   0.0000000000E+000   0.1580000000E+003   0.8825460434E+001   0.4629608917E+002   0.2199249649E+002   0.4708618546E+002   0.6330715942E+002
   0.0000000000E+000   0.1600000000E+003   0.8052618027E+001   0.4622071075E+002   0.2228702927E+002   0.4707544327E+002   0.6330711746E+002
   0.0000000000E+000   0.1620000000E+003   0.7270015717E+001   0.4612932587E+002   0.2255448914E+002   0.4706468582E+002   0.6330715179E+002
   0.0000000000E+000   0.1640000000E+003   0.6478559494E+001   0.4601564789E+002   0.2279440308E+002   0.4705434799E+002   0.6330712891E+002
   0.0000000000E+000   0.1660000000E+003   0.5679237843E+001   0.4587020874E+002   0.2300662422E+002   0.4704407120E+002   0.6330715942E+002
   0.0000000000E+000   0.1680000000E+003   0.4873058796E+001   0.4567696381E+002   0.2319075775E+002   0.4703405762E+002   0.6330715179E+002
   0.0000000000E+000   0.1700000000E+003   0.4061033726E+001   0.4540632248E+002   0.2334663963E+002   0.4702415085E+002   0.6330714417E+002
   0.0000000000E+000   0.1720000000E+003   0.3244171143E+001   0.4500002289E+002   0.2347407341E+002   0.4701449585E+002   0.6330712891E+002
   0.0000000000E+000   0.1740000000E+003   0.2423629045E+001   0.4431935883E+002   0.2357295227E+002   0.4700459290E+002   0.6330715179E+002
   0.0000000000E+000   0.1760000000E+003   0.1600835323E+001   0.4293952179E+002   0.2364304733E+002   0.4699522018E+002   0.6330712128E+002
   0.0000000000E+000   0.1780000000E+003   0.7789945602E+000   0.3864337540E+002   0.2368439484E+002   0.4698563385E+002   0.6330714417E+002
   0.0000000000E+000   0.1800000000E+003   0.1262012869E+000   0.6950556183E+002   0.2369686890E+002   0.4697610092E+002   0.6330714417E+002
   0.2000000000E+001   0.0000000000E+000   0.9317182004E-001   0.6458559418E+002   0.2322963905E+002   0.4726085663E+002   0.6290874100E+002
   0.2000000000E+001   0.2000000000E+001   0.8200207949E+000   0.4747392273E+002   0.2321307945E+002   0.4725686264E+002   0.6290679169E+002
   0.2000000000E+001   0.4000000000E+001   0.1606394291E+001   0.4440567017E+002   0.2316949844E+002   0.4726161194E+002   0.6290469360E+002
   0.2000000000E+001   0.6000000000E+001   0.2392528057E+001   0.4337189484E+002   0.2309908867E+002   0.4727449799E+002   0.6290257263E+002
   0.2000000000E+001   0.8000000000E+001   0.3176386595E+001   0.4286891556E+002   0.2300194168E+002   0.4729586029E+002   0.6290047073E+002
   0.2000000000E+001   0.1000000000E+002   0.3956860065E+001   0.4258565140E+002   0.2287800598E+002   0.4732508850E+002   0.6289826965E+002
   0.2000000000E+001   0.1200000000E+002   0.4733040333E+001   0.4241708755E+002   0.2272749901E+002   0.4736216354E+002   0.6289605713E+002
   0.2000000000E+001   0.1400000000E+002   0.5504006386E+001   0.4231786346E+002   0.2255031586E+002   0.4740672302E+002   0.6289364243E+002
   0.2000000000E+001   0.1600000000E+002   0.6268914223E+001   0.4226467133E+002   0.2234677315E+002   0.4745893097E+002   0.6289117432E+002
