 Values of the electric field strength in V/m 
 (total field,incident and scattered) 
 "Frequency in Hz"  1.1000001E+10
          Theta(deg)            Phi(deg)           radius(m)        Magn(Etheta)       Phase(Etheta)          Magn(Ephi)         Phase(Ephi)          Total(V/m)
 "NearField Radiation"           1
  120.0000  360.0000    1.0000    0.1116750002E+01    0.3988035965E+02    0.2093286705E+02    0.8751490784E+02    0.2096309090E+02
  150.0000    0.0000    1.0000    0.1258431196E+01    0.2046154594E+02    0.3303747940E+02    0.8684712219E+02    0.3306180954E+02
  150.0000   45.0000    1.0000    0.1990013885E+02    0.6217454910E+02    0.8645538330E+01    0.5775451660E+02    0.2169929504E+02
  150.0000   90.0000    1.0000    0.2579277992E+02    0.8602357483E+02    0.1691908002E+01    0.8525761414E+02    0.2587826157E+02
  150.0000  135.0000    1.0000    0.2305857658E+02    0.7771539307E+02    0.1847928429E+02    0.4641746140E+02    0.2955455208E+02
  150.0000  180.0000    1.0000    0.4612138748E+01    0.1041645527E+01    0.3008825493E+02    0.8706076813E+02    0.3043972206E+02
  150.0000  225.0000    1.0000    0.2234736633E+02    0.6472741699E+02    0.2122048950E+02    0.5377153778E+02    0.3081950760E+02
  150.0000  270.0000    1.0000    0.2625061417E+02    0.8264332581E+02    0.5657473087E+01    0.9912714005E+01    0.2687833977E+02
  150.0000  315.0000    1.0000    0.2036931419E+02    0.7957432556E+02    0.1538353252E+02    0.5117727661E+02    0.2553226280E+02
  150.0000  360.0000    1.0000    0.1258425832E+01    0.2046047783E+02    0.3303746414E+02    0.8684712982E+02    0.3306179428E+02
  180.0000    0.0000    1.0000    0.4854168415E+01    0.3961663437E+02    0.2224593925E+02    0.6702395630E+02    0.2276942062E+02
  180.0000   45.0000    1.0000    0.1510956764E+02    0.5445271301E+02    0.1703368187E+02    0.7815592957E+02    0.2276943398E+02
  180.0000   90.0000    1.0000    0.2224595070E+02    0.6702398682E+02    0.4854167938E+01    0.3961666107E+02    0.2276943016E+02
  180.0000  135.0000    1.0000    0.1703368187E+02    0.7815590668E+02    0.1510957909E+02    0.5445268631E+02    0.2276944160E+02
  180.0000  180.0000    1.0000    0.4854168892E+01    0.3961656570E+02    0.2224596977E+02    0.6702402496E+02    0.2276945114E+02
  180.0000  225.0000    1.0000    0.1510956955E+02    0.5445275879E+02    0.1703369331E+02    0.7815592957E+02    0.2276944351E+02
  180.0000  270.0000    1.0000    0.2224596405E+02    0.6702404785E+02    0.4854157925E+01    0.3961666107E+02    0.2276944160E+02
  180.0000  315.0000    1.0000    0.1703368568E+02    0.7815586090E+02    0.1510956192E+02    0.5445269394E+02    0.2276943207E+02
  180.0000  360.0000    1.0000    0.4854166985E+01    0.3961659241E+02    0.2224593925E+02    0.6702395630E+02    0.2276942062E+02
 "Frequency in Hz"  1.2000000E+10
          Theta(deg)            Phi(deg)           radius(m)        Magn(Etheta)       Phase(Etheta)          Magn(Ephi)         Phase(Ephi)          Total(V/m)
 "NearField Radiation"           1
    0.0000    0.0000    1.0000    0.6256502151E+01    0.1159431744E+02    0.1323523331E+02    0.2470240593E+02    0.1464079285E+02
    0.0000   30.0000    1.0000    0.4028863907E+01    0.7853067017E+02    0.1411707878E+02    0.1718255043E+02    0.1468200493E+02
    0.0000   60.0000    1.0000    0.9252801895E+01    0.3650664139E+02    0.1139777756E+02    0.8260120392E+01    0.1468200493E+02
    0.0000   90.0000    1.0000    0.1330956078E+02    0.2481507683E+02    0.6195098877E+01    0.1243698692E+02    0.1468200493E+02
    0.0000  120.0000    1.0000    0.1411707878E+02    0.1718255043E+02    0.4028864384E+01    0.7853066254E+02    0.1468200493E+02
    0.0000  150.0000    1.0000    0.1139777660E+02    0.8260117531E+01    0.9252803802E+01    0.3650663757E+02    0.1468200493E+02
    0.0000  180.0000    1.0000    0.6195098400E+01    0.1243698978E+02    0.1330956173E+02    0.2481507492E+02    0.1468200493E+02
   20.0000    0.0000    1.0000    0.4818100929E+01    0.3926506805E+02    0.1052281857E+02    0.2224636269E+02    0.1157487106E+02
   20.0000   30.0000    1.0000    0.1557117653E+02    0.4021075821E+02    0.2659142494E+02    0.4649922562E+02    0.3081520462E+02
   20.0000   60.0000    1.0000    0.1594765759E+02    0.3502172852E+02    0.9366623878E+01    0.4943087006E+02    0.1849850845E+02
   20.0000   90.0000    1.0000    0.1347433758E+02    0.2407516479E+02    0.7721415520E+01    0.3367237473E+02    0.1553433323E+02
   20.0000  120.0000    1.0000    0.1457738113E+02    0.5081145859E+02    0.9803376198E+01    0.5850284195E+02    0.1756853676E+02
   20.0000  150.0000    1.0000    0.1338174343E+02    0.8116921425E+01    0.2339620399E+02    0.4443236923E+02    0.2695341873E+02
   20.0000  180.0000    1.0000    0.4632682800E+01    0.1606344414E+02    0.1519595814E+02    0.5893572617E+02    0.1588818836E+02
   40.0000    0.0000    1.0000    0.2421099186E+01    0.5699888229E+02    0.2741066170E+02    0.2254791260E+01    0.2751767159E+02
   40.0000   30.0000    1.0000    0.1917953491E+02    0.3547269058E+02    0.2453220558E+02    0.5529888153E+02    0.3114415932E+02
   40.0000   60.0000    1.0000    0.2886594391E+02    0.3407738113E+02    0.1011418056E+02    0.5308994675E+02    0.3059139252E+02
   40.0000   90.0000    1.0000    0.1839619827E+02    0.1498157692E+02    0.6079086304E+01    0.7923457336E+02    0.1939847374E+02
   40.0000  120.0000    1.0000    0.2655060768E+02    0.2071891594E+02    0.1334779835E+02    0.4783906174E+02    0.2972320747E+02
   40.0000  150.0000    1.0000    0.1635821152E+02    0.4838106537E+02    0.2589822006E+02    0.5310463333E+02    0.3063492203E+02
   40.0000  180.0000    1.0000    0.2216142893E+01    0.6285646439E+02    0.2923639107E+02    0.1827916718E+02    0.2932076263E+02
   60.0000    0.0000    1.0000    0.2236784458E+01    0.5043503189E+02    0.1982621956E+02    0.5385687637E+02    0.1995336723E+02
   60.0000   30.0000    1.0000    0.1281363869E+02    0.3825364304E+02    0.1679715538E+02    0.3525306320E+02    0.2114782906E+02
   60.0000   60.0000    1.0000    0.3218453598E+02    0.6026342392E+02    0.6206391335E+01    0.4988187408E+02    0.3279042435E+02
   60.0000   90.0000    1.0000    0.3604532623E+02    0.4926766586E+02    0.1413105726E+01    0.4605474091E+02    0.3607644272E+02
   60.0000  120.0000    1.0000    0.3287046814E+02    0.5544804382E+02    0.1274917984E+02    0.8590710449E+02    0.3526187134E+02
   60.0000  150.0000    1.0000    0.1487485027E+02    0.4889356232E+02    0.2178444862E+02    0.4749462128E+02    0.2639354706E+02
   60.0000  180.0000    1.0000    0.3492980480E+01    0.7735168457E+02    0.1569502163E+02    0.4904996490E+02    0.1607905197E+02
   80.0000    0.0000    1.0000    0.7659863234E+00    0.3764802170E+02    0.1870530319E+02    0.2438996315E+02    0.1872210503E+02
