x	y	z	val
13.5319801	-70.69999725	0.0	0.4851318002
10.5201602	-70.69999725	0.0	2.947688103
7.508340292000001	-70.69999725	0.0	4.245630264
4.510660189999999	-70.69999725	0.0	3.67338562
1.498840051	-70.69999725	0.0	1.529537439
-1.512980089	-70.69999725	0.0	1.644338369
-4.524799995	-70.69999725	0.0	3.631517172
-7.522480562	-70.69999725	0.0	4.200476646
-10.53430047	-70.69999725	0.0	2.847601652
-13.54612038	-70.69999725	0.0	0.3808772266
-16.55794121	-70.69999725	0.0	2.551115751
-19.55562085	-70.69999725	0.0	4.181585312
-22.56744169	-70.69999725	0.0	4.247693539
-25.57926066	-70.69999725	0.0	2.995340347
-28.5910815	-70.69999725	0.0	2.352392197
-31.602900480000002	-70.69999725	0.0	3.062646151
-34.60057825	-70.69999725	0.0	2.83924818
-37.61240095	-70.69999725	0.0	1.203808784
-40.62422365	-70.69999725	0.0	2.773017168
-43.636042620000005	-70.69999725	0.0	5.692635536
-46.63372412	-70.69999725	0.0	7.078802109
-49.64553937	-70.69999725	0.0	6.016688347
-52.65736207	-70.69999725	0.0	2.529767036
-55.66918477	-70.69999725	0.0	3.377989769
-58.66686255	-70.69999725	0.0	8.30359745
-61.67868152	-70.69999725	0.0	10.98779964
-64.6905005	-70.69999725	0.0	13.40843105
-67.7023232	-70.69999725	0.0	14.54131603
8.025110699	2.2129099819999998	0.0	43.77713776
10.05022041	4.425819963	0.0	35.73146057
12.06886023	6.631660275000001	0.0	31.57607841
14.09397088	8.844570257	0.0	26.74137688
16.112610699999998	11.05041057	0.0	23.70954704
18.13772134	13.263320550000001	0.0	24.05173302
20.15636116	15.469160859999999	0.0	24.393507
22.181471809999998	17.68206991	0.0	22.29158974
24.20010976	19.88791116	0.0	19.04705429
26.22522041	22.10082114	0.0	18.32686806
28.243862089999997	24.306660519999998	0.0	19.65233612
30.26897274	26.5195705	0.0	19.36199188
32.28760883	28.725411740000002	0.0	16.31432915
34.312721339999996	30.938321719999998	0.0	14.28912544
36.33136302	33.14416111	0.0	16.02904129
38.35647181	35.357072949999996	0.0	17.97951126
40.375113490000004	37.562910470000006	0.0	16.55062866
42.40022227	39.77582231	0.0	13.04021072
44.418863949999995	41.98165983	0.0	12.66300297
46.44397274	44.19457167	0.0	15.72619438
48.46261069	46.40041292	0.0	16.72676849
50.4877232	48.613321039999995	0.0	13.85018921
52.50636116	50.81916228	0.0	10.56073856
54.53147367	53.032074120000004	0.0	12.55779934
56.55011162	55.23791537	0.0	15.46283627
58.57522041	57.45082349	0.0	14.40606022
60.59386209	59.656661	0.0	9.666872025
62.61897087	61.86957285	0.0	8.93799305
64.63761628	64.07541037	0.0	14.53803825
66.66272133999999	66.28832221	0.0	18.58774185
68.68135928999999	68.49416345	0.0	17.03337288
67.688182	70.69999725	0.0	13.6766243
64.67636675	70.69999725	0.0	12.7854681
61.664544049999996	70.69999725	0.0	11.60489464
58.65272507	70.69999725	0.0	8.414090157
55.65504357	70.69999725	0.0	3.300118446
52.64322087	70.69999725	0.0	2.643134117
49.6314019	70.69999725	0.0	6.152952671
46.61958292	70.69999725	0.0	7.209881306
43.62190142	70.69999725	0.0	5.753052711
40.61008245	70.69999725	0.0	2.723087072
37.598259750000004	70.69999725	0.0	1.322717428
34.5864445	70.69999725	0.0	3.013643503
31.588763	70.69999725	0.0	3.160246372
28.57694216	70.69999725	0.0	2.340448618
25.56512132	70.69999725	0.0	3.075279474
22.55330235	70.69999725	0.0	4.42691946
19.54147965	70.69999725	0.0	4.348062515
16.54380187	70.69999725	0.0	2.618447542
13.5319801	70.69999725	0.0	0.4336889684
10.5201602	70.69999725	0.0	2.997676134
7.508340292000001	70.69999725	0.0	4.365560055
4.510660189999999	70.69999725	0.0	3.744041443
1.498840051	70.69999725	0.0	1.65292275
-1.512980089	70.69999725	0.0	1.599221587
-4.524799995	70.69999725	0.0	3.788393974
-7.522480562	70.69999725	0.0	4.348191738
